1.000000000	1.000000000	1.000000000
0.447058824	0.980392157	0.960784314
0.447058824	0.972549020	0.823529412
0.447058824	0.968627451	0.678431373
0.439215686	0.968627451	0.529411765
0.439215686	0.960784314	0.372549020
0.439215686	0.960784314	0.219607843
0.454901961	0.960784314	0.184313725
0.525490196	0.964705882	0.188235294
0.623529412	0.964705882	0.200000000
0.733333333	0.972549020	0.207843137
0.850980392	0.976470588	0.219607843
0.964705882	0.980392157	0.231372549
0.980392157	0.886274510	0.219607843
0.945098039	0.607843137	0.172549020
0.933333333	0.462745098	0.152941176
0.925490196	0.321568627	0.137254902
0.921568627	0.231372549	0.133333333
0.666666667	0.000000000	0.000000000
0.666666667	0.000000000	0.000000000
